Sell_to_Customer_Name,DOMAIN,Shortcut_Dimension_Code,City,Customer_ID,TOTAL,SUM_TOTAL,Description,Currency_Code,Quantity,Unit_Price,Size,Gen_ Bus_ Posting Group,Document_Type,Order_Date_Year,Order_Date_M&Y,Global_Dimension_Code,Gen_ Bus_ Posting_Group,Gen_Prod_ Posting_Group
May & Baker Nigeria Plc.,Pharmaceuticals and Healthcare Sector,Others,LAGOS,00171,26020,0,User License,USD,10,2088,Small Quanity,DOMESTIC,0,2021,Nov-21,MS-CRM,DOMESTIC,SOFTWARE
May & Baker Nigeria Plc.,Pharmaceuticals and Healthcare Sector,Others,LAGOS,00171,26020,0,User License,USD,10,418,Small Quanity,DOMESTIC,0,2021,Dec-21,MS-CRM,DOMESTIC,SOFTWARE
May & Baker Nigeria Plc.,Pharmaceuticals and Healthcare Sector,MS-NAV,LAGOS,00171,26020,26020,Power BI Premium License,USD,4,240,Small Quanity,DOMESTIC,1,2024,Jan-22,MS-CRM,DOMESTIC,SOFTWARE
Sundry Customer,Retail & Commerce Sector,Others,LAGOS,00076,4501755.4,4501755.4,Licenses,USD,1,0,Small Quanity,DOMESTIC,0,2021,Feb-22,MS-CRM,DOMESTIC,SOFTWARE
First Nominees Nigeria Ltd,Retail & Commerce Sector,Others,LAGOS,00076,4501755.4,0,Windows Server,USD,1,1036.8,Small Quanity,DOMESTIC,0,2021,Mar-22,MS-CRM,DOMESTIC,SOFTWARE
Sundry Customer,Retail & Commerce Sector,Others,LAGOS,00076,4501755.4,0,WHT Management,USD,1,3500,Small Quanity,DOMESTIC,0,2021,Apr-22,MS-CRM,DOMESTIC,SOFTWARE
Sundry Customer,Retail & Commerce Sector,Others,LAGOS,00076,4501755.4,0,SQL Server License ,USD,1,889,Small Quanity,DOMESTIC,0,2021,May-22,MS-CRM,DOMESTIC,SOFTWARE
Sundry Customer,Retail & Commerce Sector,Others,LAGOS,00076,4501755.4,0,Microsoft 365 Business License,USD,5,1320,Small Quanity,DOMESTIC,0,2021,Jun-22,MS-CRM,DOMESTIC,SOFTWARE
Sundry Customer,Retail & Commerce Sector,Others,LAGOS,00076,4501755.4,0,SQL Cal License,USD,5,205,Small Quanity,DOMESTIC,0,2021,Jul-22,MS-CRM,DOMESTIC,SOFTWARE
Sundry Customer,Retail & Commerce Sector,Others,LAGOS,00076,4501755.4,0,Microsoft 365 Business License,USD,4,150,Small Quanity,DOMESTIC,0,2021,Aug-22,MS-CRM,DOMESTIC,SOFTWARE
Sundry Customer,Retail & Commerce Sector,Others,LAGOS,00076,4501755.4,0,Microsoft Project,USD,4,84,Small Quanity,DOMESTIC,0,2021,Sep-22,MS-CRM,DOMESTIC,SOFTWARE
Sundry Customer,Retail & Commerce Sector,MS-OFF,LAGOS,00076,4501755.4,0,Microsoft 365 Business License,USD,4,60,Small Quanity,DOMESTIC,0,2021,Oct-22,MS-CRM,DOMESTIC,SOFTWARE
Sundry Customer,Retail & Commerce Sector,MS-OFF,LAGOS,00076,4501755.4,0,Microsoft 365 Business License,NGN,20,47520,Large Quantity,DOMESTIC,0,2020,Nov-22,MS-CRM,DOMESTIC,SOFTWARE
Sundry Customer,Retail & Commerce Sector,Others,LAGOS,00076,4501755.4,0,Essential User Licenses,NGN,5,1200,Small Quanity,DOMESTIC,0,2019,Dec-22,MS-CRM,DOMESTIC,SOFTWARE
Sundry Customer,Retail & Commerce Sector,Others,LAGOS,00076,4501755.4,0,Team Member User Licenses,NGN,5,240,Small Quanity,DOMESTIC,0,2019,Jan-23,MS-CRM,DOMESTIC,SOFTWARE
Sundry Customer,Retail & Commerce Sector,Others,LAGOS,00076,4501755.4,0,Licenses,USD,20,576.96,Large Quantity,DOMESTIC,0,2019,Feb-23,MS-CRM,DOMESTIC,SOFTWARE
Sundry Customer,Retail & Commerce Sector,Others,LAGOS,00076,4501755.4,0,Licenses,USD,1,4818,Small Quanity,DOMESTIC,0,2019,Mar-23,MS-CRM,DOMESTIC,SOFTWARE
Sundry Customer,Retail & Commerce Sector,Others,LAGOS,00076,4501755.4,0,Licenses,USD,20,114.48,Large Quantity,DOMESTIC,0,2019,Apr-23,MS-CRM,DOMESTIC,SOFTWARE
